1		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.863734		  0.459097		  0.506522		  0.435119		  0.474138		  0.455571		  0.506173
104		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.868003		  0.463885		  0.515217		  0.444041		  0.482759		  0.427330		  0.481922
105		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.874989		  0.446703		  0.521739		  0.358995		  0.431034		  0.347336		  0.411376
106		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.847570		  0.465873		  0.539130		  0.413835		  0.474138		  0.284369		  0.361332
107		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.770497		  0.545979		  0.643478		  0.494200		  0.603448		  0.244118		  0.323192
108		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  2.031656		  0.221946		  0.475000		  0.149054		  0.286458		  0.241531		  0.400794
109		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.897051		  0.385131		  0.555128		  0.506929		  0.669271		  0.194731		  0.291005
110		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.766814		  0.535551		  0.675641		  0.506913		  0.617188		  0.340040		  0.424824
111		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.739902		  0.574458		  0.682051		  0.595865		  0.705729		  0.275571		  0.344356
112		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.693897		  0.630773		  0.719231		  0.598154		  0.679688		  0.348653		  0.410494
113		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.650768		  0.680487		  0.759615		  0.612092		  0.692708		  0.358849		  0.414683
114		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.646448		  0.686972		  0.759615		  0.594742		  0.671875		  0.374091		  0.429012
115		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.683679		  0.641863		  0.716667		  0.673104		  0.744792		  0.346197		  0.395503
116		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.643307		  0.686278		  0.755128		  0.702657		  0.763021		  0.337939		  0.388448
117		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.636801		  0.696263		  0.760256		  0.689293		  0.750000		  0.337769		  0.390212
118		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.613444		  0.721373		  0.783974		  0.719269		  0.773438		  0.333938		  0.388668
119		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.636409		  0.698911		  0.763462		  0.714913		  0.773438		  0.374461		  0.429012
120		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.627062		  0.706194		  0.766026		  0.682343		  0.750000		  0.385552		  0.452822
121		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.621378		  0.708873		  0.773718		  0.721522		  0.776042		  0.382685		  0.446429
122		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.616337		  0.715959		  0.773077		  0.708816		  0.776042		  0.411245		  0.473325
123		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.602233		  0.731053		  0.793590		  0.710311		  0.770833		  0.432424		  0.499780
124		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.599668		  0.735040		  0.793590		  0.721901		  0.786458		  0.454439		  0.524691
125		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.613810		  0.718880		  0.779487		  0.761104		  0.820312		  0.433457		  0.503086
126		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.848055		  0.443293		  0.606591		  0.505809		  0.624265		  0.221588		  0.270282
127		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.659381		  0.665495		  0.753314		  0.546849		  0.631618		  0.263035		  0.308862
128		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.641465		  0.689066		  0.756443		  0.750037		  0.822794		  0.369749		  0.430335
129		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.581097		  0.755407		  0.820508		  0.753716		  0.811029		  0.354591		  0.404541
130		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.566099		  0.776930		  0.834131		  0.794075		  0.848529		  0.476638		  0.532628
131		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.551974		  0.791210		  0.841127		  0.814524		  0.865441		  0.488148		  0.538139
132		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.542537		  0.803219		  0.851068		  0.805162		  0.850735		  0.463419		  0.513228
133		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.535059		  0.812279		  0.855118		  0.851721		  0.891176		  0.482160		  0.529541
134		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.526608		  0.821347		  0.863770		  0.838278		  0.885294		  0.494595		  0.538580
135		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.515694		  0.834513		  0.872791		  0.834897		  0.875735		  0.478023		  0.522266
136		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.515901		  0.834099		  0.873895		  0.851237		  0.892647		  0.526423		  0.569004
137		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.513145		  0.838214		  0.876657		  0.828149		  0.871324		  0.519666		  0.564594
138		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.504208		  0.847093		  0.884021		  0.846039		  0.885294		  0.501647		  0.544974
139		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.508015		  0.844404		  0.881811		  0.858100		  0.888235		  0.514666		  0.558642
140		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.500391		  0.852796		  0.886782		  0.856218		  0.895588		  0.510089		  0.550044
141		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.503335		  0.849072		  0.885125		  0.847951		  0.884559		  0.529361		  0.572310
142		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.494887		  0.859651		  0.895987		  0.869905		  0.903676		  0.533909		  0.574956
143		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.486000		  0.868721		  0.901325		  0.867914		  0.897059		  0.556318		  0.600750
144		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.492302		  0.863016		  0.896539		  0.869289		  0.904412		  0.554790		  0.595238
145		  loss_val		  train_c		  train_e		  test_c		  test_e		  valid_c		  valid_e
		  1.491356		  0.862807		  0.896907		  0.878509		  0.911765		  0.555502		  0.595899
